Year,Europe,UE15 (First 15 EU members) ,inc. Spain,inc. Italy,inc. Portugal,NEM (New EU Members 1995 and 2002) ,inc. Poland,NEM 2007,inc. Romania,Rest of Europe,Europe (excluded. EEE),AELE (Norway Iceland liechtenstein),inc. Serbia and Montenegro,inc. Switzerland,CEI (Ex-USSR in Russia),CEI Europe (Ex-USSR in Europe),inc. Russian federation,CEI Asia (Ex-USSR in asia),Asia,South-east asia,oriental Asia,inc. China (PRC),inc. Japan,Meridional Asia,inc. India,inc. Sri Lanka,Rest of Asie,inc. Turkey,Africa,Maghreb,Algeria,Morocco,Tunisia,subsaharian Africa,inc. Cameroon,inc. Comores,inc. Congo,inc. Ivory coast,inc. Madagascar,inc. Mali,inc. Mauritania,inc. Senegal,Rest of Africa,inc. Democratic Congo,America,North America,Canada,USA,South America,inc. Brazil,inc. Haïti,Oceania,Refused,TOTAL,Nan,Nan;;;;;;;;;;;;;;;;;;;;
2014,13660,5783,459,703,3345,2708,675,0,1486,5169,5029,140,1345,138,0,0,3040,0,14749,1280,2056,1835,34,2768,384,973,8645,5835,68255,39467,15142,18051,6274,23415,3010,2175,2335,3055,1621,3345,563,3048,5373,1797,6556,762,303,459,5794,782,2181,90,2303,105613,0,0;;;;;;;;;;;;;;;;;;;;
2015,14122,5969,503,844,3109,2991,747,0,1557,5162,4989,173,1227,168,0,0,2654,0,15713,1461,2053,1830,35,2931,392,969,9268,5595,74272,43505,17377,19110,7018,24347,3125,1881,2089,3188,1734,3621,609,3382,6420,2547,7385,996,438,558,6389,888,2228,118,1998,113608,0,0;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;#NOM?
